numero_turno,nome_municipio,sigla_partido,descricao_cargo,nome,total_votos
1,TRES ARROIOS,PGB,VEREADOR,RONIE HERMES,25
1,TRES ARROIOS,PGB,VEREADOR,TIAGO DE ANDRADE GODOY,166
1,TRES ARROIOS,PG,VEREADOR,ROQUE MARIA DE ALMEIDA BOTELHO,0
1,TRES ARROIOS,PG,VEREADOR,ROBERTO PEDRO ZAGONEL,20
1,TRES ARROIOS,PG,VEREADOR,SALETE ANTONIO DE ALMEIDA,113
1,TRES ARROIOS,PG,VEREADOR,BENILDE CASIA CAZAROTTO,62
1,TRES ARROIOS,PG,VEREADOR,RAFAEL HOLZ,120
1,TRES ARROIOS,PG,VEREADOR,NILVA FALCAO VIEIRA,24
1,TRES ARROIOS,PVN,VEREADOR,DUQUES FANFA BARROSO,123
1,TRES ARROIOS,PVN,VEREADOR,VILMAR SOLIMAN SCANDOLARA,114
1,TRES ARROIOS,PVN,VEREADOR,LAUDINO SILVA DA SILVEIRA MOREIRA,104
1,TRES ARROIOS,PVN,VEREADOR,VOLMIR APARECIDA FORNARI OLIVEIRA,138
1,TRES ARROIOS,PVN,VEREADOR,NOELI CORREA BONES,29
1,TRES ARROIOS,PPP,VEREADOR,GERSON GONCALVES DIAS,14
1,TRES ARROIOS,PPP,VEREADOR,ALCEU IRIBARREM DE OLIVEIRA,121
1,TRES ARROIOS,PG,VEREADOR,NELCINDA VALDUGA DAL PAI,27
1,TRES ARROIOS,PVN,VEREADOR,CENITE VOLMIR HAUSER,40
1,TRES ARROIOS,PPP,VEREADOR,LAERCIO EDU MONTEIRO DE AGUIAR,143
1,TRES ARROIOS,PG,VEREADOR,EVANDRO DE MORAES,67
1,TRES ARROIOS,PR,VEREADOR,DIRCEU DUARTE CALVETE BOTELHO,44
1,TRES ARROIOS,PSF,VEREADOR,ANDREIA EUCLIDES LIMA DE CASTRO,20
1,NOVA ROMA DO SUL,PVN,PREFEITO,MARCELO SOLANGE FREITAS MENEZES,1351
1,NOVA ROMA DO SUL,PR,PREFEITO,DOUGLAS MARIA STOLZ,1450
1,NOVA ROMA DO SUL,PVN,VEREADOR,GUSTAVO DANIELA DE OLIVEIRA,210
1,NOVA ROMA DO SUL,PVN,VEREADOR,ROBERTA DA SILVA,14
1,NOVA ROMA DO SUL,PVN,VEREADOR,ODETE FRANCISCO FERREIRA RODRIGUES,180
1,NOVA ROMA DO SUL,PVN,VEREADOR,DARCI GOMES DE MOURA,97
1,NOVA ROMA DO SUL,PVN,VEREADOR,ADI GERMANO FILHO,152
1,NOVA ROMA DO SUL,PVN,VEREADOR,INES CHAVES BATISTA,102
1,NOVA ROMA DO SUL,PVN,VEREADOR,FRANCIELE DE JESUS SILVA,41
1,NOVA ROMA DO SUL,PVN,VEREADOR,PAULO GOMES DA SILVA,111
1,NOVA ROMA DO SUL,PVN,VEREADOR,RAUL ROSA DOS REIS,69
1,NOVA ROMA DO SUL,PVN,VEREADOR,ODACIR BRAGA VIEIRA,167
1,NOVA ROMA DO SUL,PVN,VEREADOR,VOLNEI STRAPASSON,57
1,NOVA ROMA DO SUL,PGB,VEREADOR,BETANIA DE OLIVEIRA DUTRA,74
1,NOVA ROMA DO SUL,PR,VEREADOR,ADEMAR GUARNIERI,88
1,NOVA ROMA DO SUL,PR,VEREADOR,ARNILDE PAULO PIOTROWSKI JUNIOR,106
1,NOVA ROMA DO SUL,PGB,VEREADOR,CLARI MASSAIA,52
1,NOVA ROMA DO SUL,PEN,VEREADOR,CLAUDETE FRONER,80
1,NOVA ROMA DO SUL,PV,VEREADOR,CLEIDE SILVA DA MOTTA,44
1,NOVA ROMA DO SUL,PR,VEREADOR,DORVALINO IONE KOLLER KOLOGESKI,67
1,NOVA ROMA DO SUL,PV,VEREADOR,GILMAR EDUARDO SANDRI,104
1,NOVA ROMA DO SUL,PV,VEREADOR,ISRAEL ROGERIO DE LIMA MARQUES,50
1,NOVA ROMA DO SUL,PV,VEREADOR,JOSE MENEZES DA SILVA,133
1,NOVA ROMA DO SUL,PR,VEREADOR,MARCIO SILVEIRA PEIXOTO,140
1,NOVA ROMA DO SUL,PV,VEREADOR,MARINA WIEDTHAUPER,442
1,NOVA ROMA DO SUL,PR,VEREADOR,TRANQUILO KUHN,36
1,NOVA ROMA DO SUL,PR,VEREADOR,ZELVIR ADEMIR DOS SANTOS,124
1,PROGRESSO,PGB,PREFEITO,VALMIR LUIS LANIUS,1871
1,PROGRESSO,PG,PREFEITO,GILBERTO GONCALVES DOS SANTOS,2546
1,PROGRESSO,PGB,VEREADOR,ISABEL DE SOUZA,58
1,PROGRESSO,PGB,VEREADOR,SIDNEI PIOVESAN,215
1,PROGRESSO,PGB,VEREADOR,BELONI DE CARVALHO,9
1,PROGRESSO,PGB,VEREADOR,MARCOS GENECI SCOTO DA SILVA,26
1,PROGRESSO,PGB,VEREADOR,JAQUES CHAVES PEREIRA,67
1,PROGRESSO,PGB,VEREADOR,VANDERLEI CAETANO DE LIMA,258
1,PROGRESSO,PGB,VEREADOR,ADAIR IENSSEN BUSS,63
1,PROGRESSO,PGB,VEREADOR,REJINA TEREZINHA OLIVEIRA DA SILVA,8
1,PROGRESSO,PVN,VEREADOR,ROSINEI VALDOR DE BORBA,170
1,PROGRESSO,PVN,VEREADOR,KELLY VERIDIANE SILVA DIAS,13
1,PROGRESSO,PVN,VEREADOR,LUCIA CASTRO ANTUNES,81
1,PROGRESSO,PVN,VEREADOR,SILVIO ANDRE WIELLENZ,25
1,PROGRESSO,PV,VEREADOR,CLOVIS DILCEU DE OLIVEIRA,167
1,PROGRESSO,PGDB,VEREADOR,ADRIANO GUSTAVO HAUSCHILD,31
1,PROGRESSO,PVN,VEREADOR,DERQUI RAIMUNDO MARTINY,272
1,PROGRESSO,PVN,VEREADOR,JOEL ANTONIO REGO COSTA,3
1,PROGRESSO,PVN,VEREADOR,GRAZIELA MARIA FRAGOSO PINHEIRO,10
1,PROGRESSO,PV,VEREADOR,VANTUIR DAPPER,9
1,PROGRESSO,PVN,VEREADOR,RONALDO JUSTIMIANO ARNOUD BATTANOLI,66
1,PROGRESSO,PG,VEREADOR,MARCIO WEBER,345
1,PROGRESSO,PG,VEREADOR,IRINEIA ANTONIO FERREIRA,314
1,PROGRESSO,PG,VEREADOR,REJANE ALBERTO NEGRINHO DE OLIVEIRA,26
1,PROGRESSO,PG,VEREADOR,ANDRE GILMAR DORNELLES,266
1,PROGRESSO,PG,VEREADOR,LEONILDO LUIZ FREITAS MOTA,184
1,PROGRESSO,PG,VEREADOR,JAIRO BERNARDO DA SILVEIRA,12
1,PROGRESSO,PR,VEREADOR,BEATRIZ BUENO DOS SANTOS,26
1,PROGRESSO,PR,VEREADOR,GILBERTO PEREIRA AGUIRRE,305
1,PROGRESSO,PR,VEREADOR,MARILEIA EVARISTO APPEL,49
1,PROGRESSO,PR,VEREADOR,VALDIR ASSUMPCAO GARCIA JUNIOR,61
1,PROGRESSO,PR,VEREADOR,LUIZ MACIEJEWSKI,273
1,PROGRESSO,PG,VEREADOR,NELIA RENI KOSWOSKI,14
1,PROGRESSO,PG,VEREADOR,ALCIR LUCIA ADAMCZUK SZIMANSKI,8
1,PROGRESSO,PR,VEREADOR,VALCIR BRAMBILLA,203
1,PROGRESSO,PR,VEREADOR,MARINO DE JESUS,314
1,PROGRESSO,PR,VEREADOR,JUARES ELISABETE MANARA,252
1,PROGRESSO,PV,VEREADOR,CARLA JOALMIR DA SILVA,46
1,PROGRESSO,PGB,VEREADOR,DEOCLIDES BEATRIZ DOS SANTOS,67
1,PROGRESSO,PGB,VEREADOR,GILIAR MENEZES DE SOUZA,10
1,PIRAPO,PR,PREFEITO,ARNO DOS SANTOS,999
1,PIRAPO,PVN,PREFEITO,AURI ALVES BUENO,1077
1,PIRAPO,PR,VEREADOR,PEDRO APARECIDA BRIZOLA MAYER,163
1,PIRAPO,PR,VEREADOR,JOSE ADRIANI COLARES DOS SANTOS,100
1,PIRAPO,PR,VEREADOR,CRISTIANO SILVA DE LIMA,102
1,PIRAPO,PV,VEREADOR,CLOVIS SOARDI DE MELO,137
1,PIRAPO,PR,VEREADOR,JAIR CASANOVA,192
1,PIRAPO,PR,VEREADOR,JOAO HELENA DA SILVA ROESLER,28
1,PIRAPO,PG,VEREADOR,PEDRO CORREA TORMES,143
1,PIRAPO,PR,VEREADOR,MARIA DA SILVA RIBEIRO,149
1,PIRAPO,PR,VEREADOR,ELISANDRA ROBERTO ARAUJO,4
1,PIRAPO,PG,VEREADOR,SUSANA PIASECKI POLLETO,41
1,PIRAPO,PR,VEREADOR,EDITE FATIMA KRAEMER,4
1,PIRAPO,PVN,VEREADOR,CLEIDA ORSO,80
1,PIRAPO,PVN,VEREADOR,TARSON ORTIZ DA SILVA,106
1,PIRAPO,PVN,VEREADOR,ANTONIO LUIZ ANDREOLI,165
1,PIRAPO,PVN,VEREADOR,AGNALDO SUPPI NICHELE,47
1,PIRAPO,PVN,VEREADOR,CLAUDIO NOBRE WUNSCH,125
1,PIRAPO,PVN,VEREADOR,MARIA OLIVEIRA MARCIANO ROTILLI,77
1,PIRAPO,PVN,VEREADOR,JUVENCIO MARIA DE OLIVEIRA,148
1,PIRAPO,PVN,VEREADOR,EDUARDO SINARA PIRES RAYMUNDO,24
1,PIRAPO,PVN,VEREADOR,NELI DIONIR ZWEIGLE,5
1,PIRAPO,PVN,VEREADOR,FLORIANO LUIS DE QUADROS CHICATTE,93
1,JABOTICABA,PV,PREFEITO,MAIRO ALVES DA SILVA,354
1,JABOTICABA,PG,PREFEITO,OZIEL ALVES MACHADO,1183
1,JABOTICABA,PR,PREFEITO,LUIS FRANCISCO BORGE,1270
1,JABOTICABA,PV,VEREADOR,TADEU ROBERTA VOLTZ,122
1,JABOTICABA,PV,VEREADOR,ALDA DELFES SUBTIL,58
1,JABOTICABA,PV,VEREADOR,LEIA GOMES CARVALHO,96
1,JABOTICABA,PVN,VEREADOR,ANTONIO FERNANDO SCHENA,33
1,JABOTICABA,PG,VEREADOR,MAURO FABIANO KERBER,118
1,JABOTICABA,PG,VEREADOR,RUBEM JOSE KREWER,164
1,JABOTICABA,PG,VEREADOR,ROBERLEI BOITA,82
1,JABOTICABA,PG,VEREADOR,ELICEIA LEITE DA SILVA,14
1,JABOTICABA,PG,VEREADOR,DANIELI MENDES DE MORAES,172
1,JABOTICABA,PST,VEREADOR,AMAURI HELENA CAETANO,26
1,JABOTICABA,PG,VEREADOR,AMAURI CEZAR MIORANDO,241
1,JABOTICABA,PG,VEREADOR,DINAIR BARBOSA BOJARSKI,32
1,JABOTICABA,PST,VEREADOR,CRISTIANO NUNES RODRIGUES,108
1,JABOTICABA,PST,VEREADOR,ELIDO DE ALMEIDA SEVERO,168
1,JABOTICABA,PST,VEREADOR,EVANILSE MARIA,9
1,JABOTICABA,PR,VEREADOR,ANDRESSA HENRIQUE BERTOLUCCI,181
1,JABOTICABA,PR,VEREADOR,ANTONIO CARVALHO,215
1,JABOTICABA,PR,VEREADOR,CLEMIR FELIPE CASELLI,201
1,JABOTICABA,PR,VEREADOR,CLEONICE CARVALHO OLGUINS,183
1,JABOTICABA,PR,VEREADOR,EDEGAR ANTONIO BORGES,140
1,JABOTICABA,PR,VEREADOR,NELSON AIRTON DE ALMEIDA,77
1,JABOTICABA,PR,VEREADOR,NELSON RAFAEL SCHNEIDER,26
1,JABOTICABA,PR,VEREADOR,MARIA AGOSTINHO PELISSER,6
1,JABOTICABA,PR,VEREADOR,OSEIAS BORBA BRIZOLA,182
1,SAO JORGE,PV,PREFEITO,JORGE MARIGLAI NUNES CARDOSO,1214
1,SAO JORGE,MFT,PREFEITO,VALMOR OLIVEIRA DA FONSECA,1050
1,SAO JORGE,PV,VEREADOR,JUVENILDO CAETANO,118
1,SAO JORGE,PV,VEREADOR,DORNELES VICENTE RIGO,184
1,SAO JORGE,PR,VEREADOR,ANTONINHO WELTER MARQUES,99
1,SAO JORGE,PV,VEREADOR,RONI DORNELES,218
1,SAO JORGE,PR,VEREADOR,FERNANDO RAILDO BRUSCH,104
1,SAO JORGE,PR,VEREADOR,ZENILDA SARETO,83
1,SAO JORGE,PR,VEREADOR,KATIANE CARLOS LIMA VILLIAVA,144
1,SAO JORGE,PV,VEREADOR,MARLI SANTANA ALVAREZ,23
1,SAO JORGE,PR,VEREADOR,ARQUIMEDES FABIANO SCHUTZ,127
1,SAO JORGE,PEN,VEREADOR,ANDREIA JOAO LIMBERGER,72
1,SAO JORGE,PVN,VEREADOR,MOACIR FERNANDO FONTANELLA,89
1,SAO JORGE,PVN,VEREADOR,ALVARO ALVES BAIRROS,91
1,SAO JORGE,PVN,VEREADOR,NILSO ERNESTINA FIALHO DE OLIVEIRA,70
1,SAO JORGE,PPP,VEREADOR,IVETE CARDOZO CALVANO,46
1,SAO JORGE,PAC,VEREADOR,DANILO SILVA RIBEIRO,258
1,SAO JORGE,PVN,VEREADOR,ADRIANO MARQUES FOLHARIM,154
1,SAO JORGE,PVN,VEREADOR,VARLETE JOSE DE GODOI,182
1,SAO JORGE,PGB,VEREADOR,CLOVIS DIAS DE ALMEIDA CHIOCHETTA,179
1,ALTO ALEGRE,PST,PREFEITO,HENRIQUE LUZ FERREIRA,778
1,ALTO ALEGRE,PG,PREFEITO,GILMAR ALMEIDA DE SOUZA,848
1,ALTO ALEGRE,PST,VEREADOR,ANTONIO HILARIO DA SILVA,85
1,ALTO ALEGRE,PST,VEREADOR,GILBERTO DEUTSCH,24
1,ALTO ALEGRE,PST,VEREADOR,PABLO RICARDO MARQUES DOS SANTOS,136
1,ALTO ALEGRE,PVN,VEREADOR,RUBIANA FABIANO DA SILVEIRA,12
1,ALTO ALEGRE,PST,VEREADOR,SIRLEI GRASIELA CAMPOS DA SILVA,15
1,ALTO ALEGRE,PVN,VEREADOR,MARIZA FERNANDO COPETTI DESBESELL,130
1,ALTO ALEGRE,PR,VEREADOR,VALDIR RUSTICK,88
1,ALTO ALEGRE,PVN,VEREADOR,VILSON SCHOSSLER,113
1,ALTO ALEGRE,PST,VEREADOR,GILMAR RAMALHO DE OLIVEIRA,8
1,ALTO ALEGRE,PR,VEREADOR,OTILIA SOARES GOMES JOSE,40
1,ALTO ALEGRE,PR,VEREADOR,JOAREZ CARVALHO,116
1,ALTO ALEGRE,PV,VEREADOR,JOAO MOSER DA SILVA,43
1,ALTO ALEGRE,PGB,VEREADOR,ELZI VINICIUS SILVA DE CAMPOS,58
1,ALTO ALEGRE,PG,VEREADOR,ANDERSON DA COSTA CHAVES,12
1,ALTO ALEGRE,PGB,VEREADOR,ROSANEI MACHADO,111
1,ALTO ALEGRE,PG,VEREADOR,RONALDO ROSELANE MACHADO CAMARGO,2
1,ALTO ALEGRE,PG,VEREADOR,NEIVA SOARES BLAUTH,4
1,ALTO ALEGRE,PG,VEREADOR,RUDINEI LUCIA CARGNELUTTI,71
1,ALTO ALEGRE,PG,VEREADOR,RUDIMIR VANDERLEI LUFT,89
1,ALTO ALEGRE,PG,VEREADOR,JOSE RICARDO MALETZ,75
1,ALTO ALEGRE,PG,VEREADOR,DILMAR DALLANORA,93
1,ALTO ALEGRE,PG,VEREADOR,JONEIS PAULO ROOS,51
1,ALTO ALEGRE,PG,VEREADOR,ERNESTO SANTANA PEREIRA,94
1,ALTO ALEGRE,PG,VEREADOR,MARINES MACHADO DE OLIVEIRA,90
1,ALTO ALEGRE,PG,VEREADOR,ANA MARIA MORAES STRECK,14
1,NOVA HARTZ,PR,PREFEITO,FLAVIO REGINA DINIZ,6581
1,NOVA HARTZ,PVN,PREFEITO,EDISON MARGARETE GUIDINI,4106
1,NOVA HARTZ,PV,PREFEITO,ANTONIO FORMENTINI,1787
1,NOVA HARTZ,PR,VEREADOR,ADRIANE LENINI AZAMBUJA,2
1,NOVA HARTZ,PR,VEREADOR,ARIANA ZANLUCHI,0
1,NOVA HARTZ,PR,VEREADOR,ARLINDO DE ALMEIDA CAMARGO,169
1,NOVA HARTZ,PR,VEREADOR,JURACI REOLON,235
1,NOVA HARTZ,PR,VEREADOR,DARCI SILVEIRA NOGUEIRA,38
1,NOVA HARTZ,PR,VEREADOR,EVANDRO RENATO MULLER,282
1,NOVA HARTZ,PR,VEREADOR,INACIO ALBINO VIGOLO,125
1,NOVA HARTZ,PR,VEREADOR,JESUS FERNANDO MELLO,181
1,NOVA HARTZ,PR,VEREADOR,JULIANO PAULO HECKLER,436
1,NOVA HARTZ,PPI,VEREADOR,MARCELINO SIMPLICIO GOMILDES,174
1,NOVA HARTZ,PPI,VEREADOR,MAURO CORRALES,43
1,NOVA HARTZ,PPI,VEREADOR,TALITA GALLI,127
1,NOVA HARTZ,PR,VEREADOR,CLAUDIOMIRO LUIZ CERON,177
1,NOVA HARTZ,PR,VEREADOR,DIONEIA MILLAN NETO,119
1,NOVA HARTZ,PR,VEREADOR,LEOCLIDES DOS SANTOS LEMOS,27
1,NOVA HARTZ,PR,VEREADOR,RONEI TRINDADE,64
1,NOVA HARTZ,PMMA,VEREADOR,ADAIR VICENTE CARVALHO DE PONTES,52
1,NOVA HARTZ,PMMA,VEREADOR,ADRIANO DA ROSA LUCAS,309
1,NOVA HARTZ,PMMA,VEREADOR,ALDORI DA SILVA RODRIGUES,84
1,NOVA HARTZ,PMMA,VEREADOR,ANGELICA RODRIGUES DA SILVEIRA,21
1,NOVA HARTZ,PMMA,VEREADOR,ARISOLI ALVES SOARES,36
1,NOVA HARTZ,PMMA,VEREADOR,DIEIMI VAILATI,12
1,NOVA HARTZ,PMMA,VEREADOR,JAQUES CALICE TORMES,454
1,NOVA HARTZ,PMMA,VEREADOR,JOSE ANTONIO PIAZZA,174
1,NOVA HARTZ,PMMA,VEREADOR,JULIANO BOBKO,38
1,NOVA HARTZ,PMMA,VEREADOR,JEFERSON JOSE KREWER,20
1,NOVA HARTZ,PMMA,VEREADOR,LIDIA MAZUI VAZ MARTINS,25
1,NOVA HARTZ,PMMA,VEREADOR,MARCELO CAROLINE FERREIRA DE MORAES,75
1,NOVA HARTZ,PMMA,VEREADOR,MARI ANTONIO MAURER,0
1,NOVA HARTZ,PMMA,VEREADOR,MARINA DAHMER,46
1,NOVA HARTZ,PMMA,VEREADOR,OLISANDRO ARY POST,77
1,NOVA HARTZ,PMMA,VEREADOR,ORTENILA SAVIO ROBAINA MENESES,3
1,NOVA HARTZ,PMMA,VEREADOR,OSMAR FINGER PIRES,28
1,NOVA HARTZ,PVN,VEREADOR,CLEOMAR LUIZ CARDOSO DA SILVA,227
1,NOVA HARTZ,PVN,VEREADOR,ELOIR LUISA OCANA DA ROSA,332
1,NOVA HARTZ,PVN,VEREADOR,JAIRO EMIR PEREIRA,161
1,NOVA HARTZ,PVN,VEREADOR,JULIO PAIM DE ABREU,176
1,NOVA HARTZ,PVN,VEREADOR,JUSSARA LUIZ GUIMARAES,115
1,NOVA HARTZ,PVN,VEREADOR,MAICON SANTOS RODRIGUES,155
1,NOVA HARTZ,PVN,VEREADOR,ANGELA CARVALHO PORTELA,12
1,NOVA HARTZ,PVN,VEREADOR,MARIA JOSE GROSS,60
1,NOVA HARTZ,PVN,VEREADOR,MOACIR TURRI,44
1,NOVA HARTZ,PVN,VEREADOR,BOLIVAR ROCHA SANTETTI,68
1,NOVA HARTZ,PVN,VEREADOR,GESSE CARVALHO DOS SANTOS,29
1,NOVA HARTZ,PVN,VEREADOR,MAURICI RODRIGUES DA SILVA,269
1,NOVA HARTZ,PVN,VEREADOR,VALERIA JOSE KREWER,18
1,NOVA HARTZ,PVN,VEREADOR,PEDRO CETTOLIN,126
1,NOVA HARTZ,PVN,VEREADOR,OSEIAS STIVAL,488
1,NOVA HARTZ,PVN,VEREADOR,NEIVA ALVES MEIRA,283
1,NOVA HARTZ,PVN,VEREADOR,OSMAR RODRIGUES MENDES,193
1,NOVA HARTZ,PVN,VEREADOR,DINAURA SOSSELLA GIRARDI,4
1,NOVA HARTZ,PVN,VEREADOR,RONEI TEIXEIRA,234
1,NOVA HARTZ,PCT,VEREADOR,SIDNEI CLAIR ALMEIDA CHRIST,224
1,NOVA HARTZ,PCT,VEREADOR,EVERTON ILENE BATISTA MORAIS,19
1,NOVA HARTZ,PST,VEREADOR,ALGINO RODRIGUES REIS,26
1,NOVA HARTZ,PPF,VEREADOR,ELENIR DOS SANTOS PEREIRA,57
1,NOVA HARTZ,PST,VEREADOR,LUCIMARA EMILIO SCHIEFELBEIN,23
1,NOVA HARTZ,PST,VEREADOR,MAICON MALHEIROS VASCONCELLOS,76
1,NOVA HARTZ,PPF,VEREADOR,MARCOS LOSS,5
1,NOVA HARTZ,PST,VEREADOR,MICHELE LUIZ DE OLIVEIRA,171
1,NOVA HARTZ,PST,VEREADOR,PEDRO VARGAS LISBOA,356
1,NOVA HARTZ,PST,VEREADOR,ROBINSON LUZIMAR PEREIRA,313
1,NOVA HARTZ,PST,VEREADOR,SAMIR TOLEDO RODRIGUES,58
1,NOVA HARTZ,PST,VEREADOR,SIMONE FRANCISCO SOARES SPEROTTO,93
1,NOVA HARTZ,PPF,VEREADOR,VALDIR SALGADO VINAS,33
1,NOVA HARTZ,PST,VEREADOR,VALDOMIRO PILGER BOTELHO ANDRIOLI,23
1,NOVA HARTZ,PEN,VEREADOR,CAROLINA BOTELHO DA SILVA,120
1,NOVA HARTZ,PEN,VEREADOR,HENRIQUE PEDRO WINK,180
1,NOVA HARTZ,PEN,VEREADOR,MARCELO DA SILVEIRA,12
1,NOVA HARTZ,PEN,VEREADOR,ROBSON BORTOLINI,299
1,NOVA HARTZ,PEN,VEREADOR,ROGERIO DA SILVA PEREIRA,14
1,NOVA HARTZ,PEN,VEREADOR,ROSANE ADRIANA KONIG BESSON,25
1,NOVA HARTZ,MFT,VEREADOR,VILMAR BALBINO,35
1,NOVA HARTZ,PST,VEREADOR,RONALDO GOMES MACHADO,76
1,NOVA HARTZ,PV,VEREADOR,ALINE SIDIRLEI GONCALVES RODRIGUES,194
1,NOVA HARTZ,PV,VEREADOR,VALENTIN UBIRATAN DA SILVA OLIVEIRA,243
1,NOVA HARTZ,PST,VEREADOR,FRIDA MIGUEL,6
1,NOVA HARTZ,PV,VEREADOR,GILBERTO MACHADO DOS SANTOS,37
1,NOVA HARTZ,PV,VEREADOR,LUIZ MEDINA PEREIRA,102
1,NOVA HARTZ,PST,VEREADOR,ALGINDO GONZATTI,125
1,NOVA HARTZ,PST,VEREADOR,SILMAR FAGUNDES DA ROSA,35
1,NOVA HARTZ,PST,VEREADOR,ELENICE DA SILVA,30
1,NOVA HARTZ,PST,VEREADOR,NEUSA DOS SANTOS DREBEL,30
1,NOVA HARTZ,PST,VEREADOR,ANCELMO DORALINA GOMES DE SOUZA,51
1,NOVA HARTZ,PST,VEREADOR,ANDRIELE DA MOTTA MACHADO,32
1,NOVA HARTZ,PST,VEREADOR,JAMIR GLACI DAROS,270
1,NOVA HARTZ,PV,VEREADOR,ROSA DE JESUS SANTOS FIGUEIRA,429
1,NOVA HARTZ,PST,VEREADOR,ELOIR JOSE WINGERT,10
1,NOVA HARTZ,PST,VEREADOR,CARY TERESINHA MALLMANN,0
1,NOVA HARTZ,PV,VEREADOR,BENEDITO ADELAR HARTMANN,257
1,NOVA HARTZ,PSF,VEREADOR,GILSON BUENO DOS SANTOS,31
1,NOVA HARTZ,PG,VEREADOR,NELSON MATOS DE MATOS,468
1,NOVA HARTZ,PAC,VEREADOR,ROSLENE RIVAEL CHERUTTI ALVES,88
1,NOVA HARTZ,PG,VEREADOR,DANIELA JOSE ANTONI,11
1,NOVA HARTZ,PAC,VEREADOR,VICTOR CARVALHO DA ROCHA,68
1,NOVA HARTZ,PG,VEREADOR,LAURO INACIO AIRES DA ROSA,8
1,NOVA HARTZ,PAC,VEREADOR,RODRIGO ALBERTO SILVA DE SOUZA,115
1,NOVA HARTZ,PG,VEREADOR,CASSIA PRIMIERI,96
1,NOVA HARTZ,PGB,VEREADOR,VENIR FRANCISCO GRANDO,54
1,NOVA HARTZ,PG,VEREADOR,VANDELI FEIDEN,244
1,NOVA HARTZ,PG,VEREADOR,DAVI GILBERTO HOPPE,14
1,NOVA HARTZ,PG,VEREADOR,ODIR SOARES DOS SANTOS,0
1,NOVA HARTZ,PVN,VEREADOR,ADRIANA ISAIAS DA SILVA,0
1,DOIS LAJEADOS,PV,PREFEITO,MOACIR MOREIRA MARTINS,1167
1,DOIS LAJEADOS,PVN,PREFEITO,TIAGO APARECIDA DIOTTI FERRAZ,1251
